category,group,#,%,Proj.,Machine Cost,Diagnosis Cost,Cost,diagnosis_cost_proportion
container_already_exists,container_issues,2,0.04,1,0.9,0.54,1.44,37.5
container_not_found,container_issues,31,0.69,7,17.88,19686.51,19704.39,99.91
docker_daemon_connection_failure,container_issues,325,7.2,13,21.09,146619.61,146640.69999999998,99.99
image_build_permission_denied,container_issues,8,0.18,1,0.75,700.84,701.59,99.89
image_build_read_error,container_issues,17,0.38,5,27.67,153653.07,153680.74000000002,99.98
image_push_write_error,container_issues,1,0.02,1,0.12,0.0,0.12,0.0
image_security_scan_failure,container_issues,8,0.18,7,8.57,56.84,65.41,86.9
db_table_undefined,database_issues,16,0.35,1,1.71,11766.12,11767.83,99.99
buggy_dependency,dependency_issues,13,0.29,4,5.3,7776.07,7781.37,99.93
dependencies_conflict_error,dependency_issues,129,2.86,4,147.66,47063.55,47211.21000000001,99.69
dependency_installation_failure,dependency_issues,124,2.75,22,39.94,227213.17,227253.11000000002,99.98
misconfigured_env_variable,environment_variables,673,14.92,35,35.05,444654.01,444689.06,99.99
flaky_test,flaky_test,179,3.97,11,196.31,52287.99,52484.299999999996,99.63
helm_resource_error,infrastructure_issues,99,2.19,33,8.0,16208.66,16216.66,99.95
runner_image_pull_failure,infrastructure_issues,99,2.19,28,7.5,36866.61,36874.11,99.98
runner_instance_error,infrastructure_issues,32,0.71,8,1.36,54726.1,54727.46,100.0
runner_pod_failure,infrastructure_issues,154,3.41,32,53.24,93692.99,93746.23000000001,99.94
runner_pod_not_found,infrastructure_issues,10,0.22,7,11.12,669.3,680.42,98.37
apt_timezone_issue,internal_os_issues,66,1.46,7,8.34,1920.93,1929.27,99.57
os_cmd_execution_error,internal_os_issues,12,0.27,3,1.69,7933.45,7935.139999999999,99.98
repository_file_access_error,internal_repository_issues,60,1.33,10,6.55,7836.15,7842.7,99.92
repository_file_not_found,internal_repository_issues,37,0.82,10,11.7,11513.75,11525.45,99.9
cloud_token_limit_exceeded,limits_exceeded,39,0.86,6,8.08,44193.54,44201.62,99.98
docker_pull_limit_reached,limits_exceeded,30,0.67,5,5.46,279.86,285.32,98.09
job_execution_timeout,limits_exceeded,306,6.78,19,1300.56,398276.24,399576.8,99.67
remote_call_timeout,limits_exceeded,76,1.68,22,24.65,25346.23,25370.88,99.9
runner_pod_waiting_timeout,limits_exceeded,199,4.41,34,90.19,104412.37,104502.56,99.91
stuck_or_timeout_failure,limits_exceeded,14,0.31,9,157.13,139349.8,139506.93,99.89
container_oom_error,memory_issues,55,1.22,11,32.52,4554.56,4587.080000000001,99.29
static_analysis_tool_oom_error,memory_issues,57,1.26,8,41.26,8177.13,8218.39,99.5
testing_device_oom_error,memory_issues,6,0.13,5,5.41,6371.38,6376.79,99.92
broker_connection_failure,networking_issues,7,0.16,2,11.25,9512.59,9523.84,99.88
connection_closed_reset_broken,networking_issues,204,4.52,38,58.33,239843.52,239901.84999999998,99.98
connection_refused,networking_issues,44,0.98,11,10.37,124036.78,124047.15,99.99
host_resolution_failure,networking_issues,91,2.02,29,22.94,23685.86,23708.8,99.9
ssl_connection_error,networking_issues,16,0.35,5,1.46,1940.09,1941.55,99.92
api_gateway_deployment_error,remote_resource_errors,161,3.57,6,18.39,194576.07,194594.46000000002,99.99
container_registry_server_error,remote_resource_errors,213,4.72,50,125.05,197573.48,197698.53,99.94
external_file_invalid_format,remote_resource_errors,125,2.77,8,13.1,29659.14,29672.239999999998,99.96
http_resource_not_found,remote_resource_errors,38,0.84,6,4.98,8070.21,8075.19,99.94
image_not_found,remote_resource_errors,221,4.9,25,52.64,81569.09,81621.73,99.94
service_unavailable,remote_resource_errors,2,0.04,2,0.82,837.85,838.6700000000001,99.9
git_transient_error,transient_vcs_errors,113,2.5,31,12.91,127654.65,127667.56,99.99
certificate_verification_failure,unauthorized_access,56,1.24,16,17.57,10795.48,10813.05,99.84
container_platform_auth_failure,unauthorized_access,314,6.96,34,58.84,76170.59,76229.43,99.92
repository_access_denied,unauthorized_access,29,0.64,9,0.6,69.87,70.47,99.15
