Category,Recency,Frequency,Monetary
container_already_exists,951,2,1.44
container_not_found,70,31,19704.39
docker_daemon_connection_failure,915,325,146640.69999999998
image_build_permission_denied,1415,8,701.59
image_build_read_error,223,17,153680.74000000002
image_push_write_error,983,1,0.12
image_security_scan_failure,182,8,65.41
db_table_undefined,304,16,11767.83
buggy_dependency,364,13,7781.37
dependencies_conflict_error,195,129,47211.21000000001
dependency_installation_failure,54,124,227253.11
misconfigured_env_variable,27,673,444689.06
flaky_test,16,179,52484.3
helm_resource_error,52,99,16216.66
runner_image_pull_failure,99,99,36874.11
runner_instance_error,273,32,54727.46
runner_pod_failure,269,154,93746.23
runner_pod_not_found,39,10,680.42
apt_timezone_issue,964,66,1929.27
os_cmd_execution_error,418,12,7935.139999999999
repository_file_access_error,347,60,7842.7
repository_file_not_found,198,37,11525.45
cloud_token_limit_exceeded,58,39,44201.62
docker_pull_limit_reached,79,30,285.32
job_execution_timeout,8,306,399576.8
remote_call_timeout,61,76,25370.88
runner_pod_waiting_timeout,35,199,104502.56
stuck_or_timeout_failure,210,14,139506.93
container_oom_error,59,55,4587.080000000001
static_analysis_tool_oom_error,181,57,8218.39
testing_device_oom_error,1265,6,6376.79
broker_connection_failure,464,7,9523.84
connection_closed_reset_broken,113,204,239901.85
connection_refused,213,44,124047.15
host_resolution_failure,24,91,23708.8
ssl_connection_error,182,16,1941.55
api_gateway_deployment_error,29,161,194594.46
container_registry_server_error,41,213,197698.53
external_file_invalid_format,41,125,29672.24
http_resource_not_found,270,38,8075.19
image_not_found,106,221,81621.73
service_unavailable,724,2,838.6700000000001
git_transient_error,40,113,127667.56
certificate_verification_failure,89,56,10813.05
container_platform_auth_failure,128,314,76229.43
repository_access_denied,484,29,70.47
