R,F,M,cluster,category,Recency,Frequency,Monetary
1,1,1,5,container_already_exists,951,2,1.44
4,2,3,6,container_not_found,70,31,19704.39
2,2,5,3,image_build_read_error,223,17,153680.74000000002
1,1,1,5,image_push_write_error,983,1,0.12
3,1,1,0,image_security_scan_failure,182,8,65.41
2,2,3,2,db_table_undefined,304,16,11767.83
1,1,2,5,buggy_dependency,364,13,7781.37
3,4,4,4,dependencies_conflict_error,195,129,47211.21000000001
4,4,5,7,dependency_installation_failure,54,124,227253.11
5,5,4,7,flaky_test,16,179,52484.3
5,4,3,1,helm_resource_error,52,99,16216.66
4,4,3,1,runner_image_pull_failure,99,99,36874.11
2,2,4,3,runner_instance_error,273,32,54727.46
2,5,4,4,runner_pod_failure,269,154,93746.23
5,1,1,0,runner_pod_not_found,39,10,680.42
1,3,1,2,apt_timezone_issue,964,66,1929.27
1,1,2,5,os_cmd_execution_error,418,12,7935.139999999999
2,3,2,2,repository_file_access_error,347,60,7842.7
3,2,3,6,repository_file_not_found,198,37,11525.45
4,3,4,1,cloud_token_limit_exceeded,58,39,44201.62
4,2,1,0,docker_pull_limit_reached,79,30,285.32
4,4,3,1,remote_call_timeout,61,76,25370.88
5,5,4,7,runner_pod_waiting_timeout,35,199,104502.56
2,1,5,3,stuck_or_timeout_failure,210,14,139506.93
4,3,2,6,container_oom_error,59,55,4587.080000000001
3,3,2,6,static_analysis_tool_oom_error,181,57,8218.39
1,1,2,5,broker_connection_failure,464,7,9523.84
3,5,5,4,connection_closed_reset_broken,113,204,239901.85
2,3,5,3,connection_refused,213,44,124047.15
5,4,3,1,host_resolution_failure,24,91,23708.8
3,2,1,0,ssl_connection_error,182,16,1941.55
5,5,5,7,api_gateway_deployment_error,29,161,194594.46
5,5,5,7,container_registry_server_error,41,213,197698.53
5,4,3,1,external_file_invalid_format,41,125,29672.24
2,3,2,2,http_resource_not_found,270,38,8075.19
3,5,4,4,image_not_found,106,221,81621.73
1,1,1,5,service_unavailable,724,2,838.6700000000001
5,4,5,7,git_transient_error,40,113,127667.56
4,3,2,6,certificate_verification_failure,89,56,10813.05
3,5,4,4,container_platform_auth_failure,128,314,76229.43
1,2,1,5,repository_access_denied,484,29,70.47
